original,substitution,total_substitutions
ɪ,j,5836
ʊ,w,3081
ʌ,ə,2933
ɪ,ə,1633
ɾ,t,1515
ɾ̃,n,1390
ʔ,t,1374
ɛ,æ,897
s,z,643
ʌ,ɪ,623
i,ɪ,619
ɪ,æ,597
ɾ,d,594
d,d͡ʒ,532
ʌ,ɑ,512
d,t,504
ɪ,u,495
l̩,ə,488
t,t͡ʃ,420
ɛ,ɪ,382
ʌ,a,379
ɪ,ɛ,372
ɛ,ə,351
ɹ̩,ɔ,350
n,ð,340
ɪ,i,328
ʌ,ɛ,327
ʌ,ɹ̩,326
ʌ,u,326
ʌ,æ,323
ʌ,o,306
n̩,ə,284
ʌ,t,279
n̩,æ,260
ɹ,ɹ̩,244
z,s,242
θ,ð,241
i,ə,226
ʌ,w,224
u,ə,222
ɪ,t,209
n̩,n,204
n,ŋ,202
ʌ,ð,202
ʌ,ɔ,199
ɑ,a,195
ʌ,j,185
n,d,170
ɛ,e,157
ʒ,ʌ,148
ʌ,n,143
ʊ,ə,140
ɹ̩,ɹ,137
ɪ,n,132
o,ɑ,132
s,t,130
n̩,ɪ,129
ɛ,a,124
ð,θ,123
o,ɔ,121
ɔ,ɑ,120
t,d,120
m,n,119
ɪ,ʌ,118
t,ə,115
n,t,114
o,w,113
ʔ,n,111
ʃ,s,110
ɛ,j,108
ʌ,d,103
f,v,103
ɪ,w,100
a,j,99
ʃ,t͡ʃ,99
i,j,97
ʒ,ə,97
ɔ,o,96
d,ð,95
ɪ,ð,95
ɡ,k,94
ɹ̩,ɛ,93
ɛ,t,92
ɾ̃,t,85
i,u,85
ʌ,l,83
l,w,82
ɛ,ð,81
ɪ,ɹ̩,80
ʊ,ɪ,80
e,j,77
æ,a,76
ŋ,n,75
ʊ,ɑ,74
ʊ,n,71
ɪ,d,71
ɪ,a,70
ʃ,ə,70
ɑ,ɔ,70
ɾ̃,w,69
n,ə,69
ʌ,ɹ,69
ɛ,n,69
d,ə,68
ʊ,j,68
æ,ɛ,68
o,a,68
e,ə,66
i,ɛ,66
ʊ,t,66
ɪ,ɑ,65
e,i,62
ɛ,ɹ̩,62
ɹ̩,ə,61
t,ð,61
v,b,61
ɾ,j,61
n,m,59
ʒ,d͡ʒ,59
i,e,58
ɛ,ʌ,58
ð,t,58
b,p,57
ð,ə,57
ɹ,j,57
ɹ,w,56
l̩,l,56
ɑ,æ,53
j,u,53
e,ɛ,53
θ,t,53
ʌ,s,52
ɑ,ʌ,52
ɾ,n,51
ʔ,d,51
ɪ,e,51
s,ə,51
ɑ,j,51
ɑ,ə,51
k,t,50
ɛ,h,50
ʌ,z,50
ɹ̩,ɑ,50
d,n,48
m̩,ʌ,47
æ̃,æ,47
ɪ,ɹ,47
ɛ,w,47
ɹ,ə,46
o,ə,46
ʌ,i,46
ʊ,ʌ,46
n,j,46
s,ð,46
ɪ,z,45
m,j,45
n̩,t,45
n,w,45
a,e,44
ɛ,d,44
u,ɪ,43
d,j,43
ʌ,h,43
ʊ,l,43
ɾ̃,ŋ,42
ɪ,o,42
ɾ̃,j,42
ɑ,w,42
l,j,42
ð,æ,41
f,p,41
ɪ,ʊ,41
m̩,ə,41
l,ə,40
m,w,40
ɾ,w,40
j,n,39
p,t,39
j,ɪ,39
t,n,39
a,æ,39
z,ð,39
j,æ,39
n,æ,38
k,ɡ,38
z,t,38
i,æ,38
w,l,37
ʊ̃,w,37
n̩,d,37
j,i,37
ʌ,ʊ,37
ɪ,s,36
ɪ,ɔ,36
æ,w,35
o,ɛ,35
t,j,35
s,j,35
a,w,35
ɾ̃,ə,35
ɔ,j,35
æ,j,34
o,j,34
t,d͡ʒ,34
ʃ,j,33
f,t,33
ɑ,ɛ,33
ɑ,ɹ̩,33
ɹ,t,33
ʌ,e,33
j,w,32
m̩,m,32
n,ɪ,32
ɾ,ə,32
ʒ,z,32
u,w,31
