symbol,total_insertions
ɛ,1056
j,836
n,753
i,697
a,660
r,564
ɨ,403
e,391
t,339
u,338
l,320
o,300
ɒ,270
ɔ,263
d,256
s,247
w,227
m,223
k,206
h,190
v,189
aː,189
z,175
ɯ,171
ø,165
ɾ,147
ɑ,126
æ,116
b,114
eː,100
ɡ,96
p,85
y,78
t͡s,73
x,70
ʂ,69
ɕ,67
ɻ,66
e̞,62
f,62
ä,59
ʃ,54
iː,49
æː,48
ɑː,43
o̞,43
ʔ,36
oː,35
øː,35
ʋ,35
ɛː,33
ɲ,32
g,28
d͡ʒ,27
nː,22
t͡ʃ,19
tː,19
t͡ɕ,18
d͡ʑ,18
ʐ,18
yː,16
ɛ̃,16
ɟ,15
ɨː,15
lː,14
ɒː,12
äː,12
uː,11
ɔ̃,10
ç,9
jː,9
ð,8
ŋ,7
wː,7
ɴ,7
ɯː,6
t͡ʂ,6
e̞ː,5
ɖ,5
dː,5
sː,5
θ,5
kː,4
bː,3
zː,3
pː,3
o̞ː,3
aːː,2
mː,2
ɣ,2
ɬ,2
kʲ,2
t̪,2
ɸ,2
ħ,2
hː,2
ɔː,2
d͡ʒː,2
d͡k,1
t͡ɛ,1
d̪,1
d͡z,1
ʋː,1
n͡ɛ̃,1
ɭ,1
ɛːː,1
t͡ɔ,1
nːː,1
fː,1
ʑ,1
vː,1
t͡a,1
ʝ,1
t͡h,1
t͡ɨ,1
ɳ,1
t͡t,1
