original,substitution,total_substitutions
ɪ,i,2765
ʌ,a,1857
ɪ,ɛ,1771
ɪ,j,1754
ʌ,ɛ,1676
ɪ,ɨ,1510
ɹ,r,1323
ɪ,e,1032
ɾ̃,n,1020
ð,d,817
ɑ,a,799
e,ɛ,743
ʌ,ɨ,731
ɾ,r,699
ʌ,ɔ,683
ɪ,n,628
æ,ɛ,628
æ,a,578
o,ɛ,562
ʊ,w,546
j,i,545
a,aː,505
ʌ,ɒ,487
ɛ,e,484
ɛ,a,473
ð,t,468
θ,t,446
ɹ,ɾ,442
a,ɛ,439
ʌ,aː,429
l,w,422
ŋ,n,419
æ,aː,415
ʌ,n,399
ʌ,o,386
ɑ,aː,381
ɔ,o,372
ɪ,r,370
i,iː,365
ɹ̩,ɛ,363
o,ɔ,361
s,z,359
z,s,341
n̩,n,339
ʌ,ɑ,333
i,j,321
ʌ,i,309
ʌ,u,307
t,d,301
ɪ,a,300
s,t͡s,289
ɪ,e̞,286
ɪ,t,283
ʌ,ø,279
ð,ɛ,278
e,a,265
ʌ,r,261
w,u,260
ɪ,d,257
ɹ̩,o,256
ɪ,eː,255
t,t͡s,251
ɹ̩,ø,249
ɹ̩,r,245
ɹ,v,243
i,e,240
ʊ,r,240
ɪ,ø,236
d,r,235
o,a,234
d,t,229
u,i,228
ɡ,k,228
ʌ,j,228
ʌ,d,228
w,o,219
ʊ,l,213
ʃ,ʂ,212
ɹ,ɻ,212
ɹ,ɛ,210
ɾ,d,210
ɡ,g,210
ɪ,l,210
w,v,209
ɹ,a,208
ɹ,w,206
ʊ,ɔ,202
ʊ,u,202
t,r,201
ɹ,j,200
a,ä,200
ʃ,ɕ,200
ɪ,o,197
l,o,196
ʊ,ɛ,195
b,p,193
ʊ,n,191
f,v,191
l,ɔ,191
ʌ,e,191
ɪ,ɔ,189
ɾ,l,189
m,n,187
i,eː,186
ʌ,l,183
ɪ,u,173
ɪ,w,171
e,j,169
ʌ,ä,168
u,y,165
ʌ,t,164
ɹ̩,ɨ,162
ɪ,ɡ,161
i,ɛ,160
ɛ,ɨ,158
ʌ,v,158
ð,a,158
t,t͡ʃ,158
e,eː,154
d,d͡ʑ,154
ɹ̩,u,154
ɪ,v,152
p,b,151
ʔ,n,150
n,ɛ,150
ð,ɨ,149
ɹ,o,149
ɑ,ɒ,149
l̩,o,149
u,ɨ,148
t,ɛ,148
ɛ,i,147
a,i,145
e,i,144
ɹ̩,ɔ,144
l,a,142
ɪ,z,142
ʌ,w,142
ʊ,o,141
ʊ,ɨ,140
w,m,137
ɔ,a,136
a,ɑ,135
n,m,135
ɹ,ɨ,134
d,d͡ʒ,133
ɛ,æ,133
ʌ,æ,131
ɛ,j,128
s,ɛ,128
ʊ,a,126
ɛ,r,124
ɑ,ɔ,123
ʊ,ɒ,123
t,t͡ɕ,121
ʒ,ɛ,120
ð,l,120
ʊ,ø,119
ɪ,k,118
ð,n,118
d,n,117
ɹ̩,a,116
ʊ,d,115
ɪ,s,115
d,ɛ,114
i,ɨ,114
j,e,114
k,ɡ,114
ɹ,l,113
t,ɨ,113
d,ɨ,112
ɪ,ɒ,112
l,j,111
ɹ,i,111
s,t,109
o,ø,109
ʌ,m,109
ɛ,eː,109
ɔ,ɒ,109
æ,e,108
ɛ,n,108
ɹ,n,108
l,u,106
j,n,106
ɹ̩,ɒ,105
ʊ,i,104
t,i,104
l,n,104
ɪ,ɲ,104
i,a,103
t,n,103
d,i,101
o,ɒ,101
e,e̞,100
v,b,100
ɾ̃,ɛ,100
l̩,ɔ,100
ɪ,m,100
o,w,98
ɾ,n,97
n,d,96
ʌ,æː,95
ɪ,aː,95
ʃ,ɛ,95
l,ɛ,95
ŋ,ɲ,94
u,yː,93
n̩,ɛ,92
ɹ,ɒ,91
n,nː,91
ɹ̩,i,90
ɪ,ɯ,89
ʃ,i,89
ʌ,ɑː,89
ʔ,r,88
ʌ,s,88
ɔ,aː,86
ð,e,85
ʃ,r,85
t,t͡ʂ,85
ʒ,ɨ,84
a,ɒ,83
ɪ,iː,83
ʊ,j,82
ɹ,ø,82
ɛ,e̞,82
n,a,82
o,n,81
t,tː,80
o,u,80
ɹ,d,80
æ,j,80
ɪ,h,79
s,sː,78
n̩,i,78
d,ɾ,78
a,j,78
ɾ,ɨ,78
ɑ,ɑː,77
ɪ,ɾ,77
f,p,77
l,v,77
l̩,u,76
d,a,76
o,j,76
ɪ,ɑ,76
l̩,oː,76
ɹ,u,75
ɾ̃,a,75
ʔ,t,74
ɛ,ɒ,74
l,r,74
ʊ,v,73
ɛ,ø,73
u,oː,73
o,oː,73
i,u,73
a,æ,73
ɑ,ä,73
s,ɨ,72
ʌ,ɯ,72
ɛ,aː,72
b,v,72
ɑ,ɛ,72
ʔ,ɛ,71
t,a,71
l,d,71
n,j,70
æ,æː,70
θ,ɛ,70
n,e,69
ɹ̩,j,69
ɾ,ɛ,69
ɔ,oː,69
ʊ,t,69
ʔ,d,69
ɪ,y,69
ɾ,a,69
ɛ,o,68
m̩,m,68
æ,ɛː,68
z,t͡s,68
æ,eː,68
ð,v,68
ŋ,i,67
t,j,66
ɪ,t͡s,66
d,l,66
ɾ̃,e,66
ɾ̃,i,66
s,n,65
ʌ,h,65
ɪ,ɕ,65
n,i,65
ɪ,g,65
ɔ,u,64
ð,r,64
l,ɑ,64
s,r,63
o,i,63
æ,i,63
ɾ̃,l,63
ɛ,ɑ,63
n,l,62
w,j,62
s,a,62
e,æ,62
o,æ,62
ɹ,ɔ,62
n,ɨ,61
ʊ,e,61
d,t͡s,61
ɔ,ɑ,61
ʌ,b,61
w,a,61
ð,j,60
u,o,59
o,e,59
n,ɲ,59
ð,i,59
ʌ,z,58
ɪ,b,58
ɑ,r,58
a,ɑː,58
ɹ,aː,58
ʊ,m,58
u,j,58
l,ɨ,58
u,ɯ,57
ʒ,i,57
k,ɛ,57
w,ɛ,57
ʊ,ɑ,57
l,aː,57
ʌ,k,56
ɾ̃,j,56
n̩,e,56
ɪ,d͡ʑ,56
ʊ,ɾ,55
w,ɔ,55
ɾ,i,55
ʔ,v,55
l,ɒ,55
ʔ,l,55
a,n,54
d,j,54
o,ɨ,54
w,ʋ,54
j,ɛ,54
θ,d,54
θ,s,54
s,ʂ,53
ɹ̩,ɾ,53
ŋ,ɛ,53
w,b,53
ʌ,p,53
a,l,53
ɛ,ɔ,52
s,ɕ,52
ʔ,i,52
ʃ,ɨ,52
n̩,ɨ,52
ŋ,k,52
t,l,51
o,ɑ,51
ʃ,t͡ʃ,51
ɑ,o,51
ɹ̩,n,51
ɡ,ɛ,51
ɛ,d,50
ʌ,y,49
ɪ,ʂ,49
ʊ,h,49
ʌ,ɛː,49
o,øː,49
j,iː,49
ɹ,ʂ,48
n,ɔ,48
s,ɔ,48
ɪ,p,48
ð,ɔ,48
ɪ,æ,48
l,o̞,47
w,i,47
ɾ,ɔ,47
æ,r,47
m̩,e,47
ɾ̃,r,47
ð,e̞,47
w,n,46
ʌ,ɾ,46
l,m,46
z,ɛ,46
ɔ,ɑː,46
i,n,46
ɹ,e,46
h,x,46
o,o̞,45
b,ɛ,45
s,d,45
ʊ,s,45
w,r,45
t,e,44
ɪ,ä,44
ʃ,s,44
d,dː,44
t,ɔ,44
u,ɛ,44
z,n,44
θ,n,44
o,l,43
ʌ,øː,43
e,d,43
n,r,43
ʌ,t͡s,43
u,uː,43
ɑ,n,43
l,t,42
o,d,41
ʌ,eː,41
t,ɾ,41
ʊ,y,41
t,d͡ʒ,41
l,i,41
k,t,40
ŋ,ɡ,40
ʔ,a,40
t,z,40
ʒ,d͡ʑ,40
ʌ,oː,40
u,r,40
u,ø,40
d,ø,40
s,j,39
o,ɛ̃,39
w,ɒ,39
ʔ,u,39
ʊ,o̞,39
ʃ,a,39
ʊ,ɯ,39
ʊ,aː,38
t,o,38
s,ɯ,38
ɡ,j,38
ɛ,u,38
z,i,38
h,ç,38
ɾ̃,ɔ,38
s,i,38
h,a,37
ʌ,ɛ̃,37
j,ɲ,37
s,ʃ,37
ɑ,w,37
æ,n,37
u,ɯː,37
u,øː,37
ɹ,t,37
ɹ̩,ɻ,37
ɪ,x,36
ʒ,d͡ʒ,36
h,ɛ,36
w,ɨ,36
ʌ,o̞,36
j,eː,36
ð,ɒ,36
ɹ,m,36
æ,d,36
m̩,n,35
t,ø,35
ɾ,e,35
ʃ,t͡ɕ,35
u,w,35
s,o,35
l,e,35
z,t,35
e,n,35
ʌ,ʂ,35
d,e,35
ʊ,z,35
ɔ,r,34
m,ɛ,34
ɹ̩,y,34
ʒ,ʐ,34
ɹ̩,ɯ,34
ɹ̩,d,34
o,r,34
ɹ̩,e,34
l,ä,34
m,v,33
ŋ,j,33
d,ɖ,33
ɹ,ʋ,33
ð,u,33
i,e̞,33
h,j,33
t,aː,33
e,ɒ,33
ʒ,r,33
ʌ,e̞,32
u,e,32
ʌ,g,32
ʊ,ä,32
u,n,32
m,j,32
ʔ,o,32
ɡ,i,32
z,d,32
j,r,32
d,v,32
ʃ,o,32
t,ʂ,32
ɹ̩,l,32
ɛ,m,32
ɛ,l,32
t,u,32
ʒ,z,32
æ,ɨ,31
d,aː,31
d,ɔ,31
ɪ,ʋ,31
ʃ,j,31
θ,i,31
w,l,31
l,h,31
k,i,31
æ,ä,31
t,p,31
ɪ,ɻ,31
ʔ,ɨ,31
b,w,31
j,a,30
ð,ɑ,30
t,k,30
ɹ,h,30
ɔ,ɛ,30
ɾ,ɒ,30
θ,ɨ,30
e,ɨ,30
n,ɒ,30
ɹ,k,30
j,h,30
ɹ,ɑ,30
k,a,30
ɾ̃,ɨ,30
ɹ,s,30
ʃ,ɔ,30
i,o,30
w,h,30
s,k,29
m,a,29
ɑ,äː,29
i,r,29
ʔ,e,29
o,ɑː,29
ð,ø,29
a,e,29
ʒ,aː,29
ɪ,d͡ʒ,29
v,ʋ,29
z,k,29
u,ɔ,29
t,v,29
m,b,29
s,v,29
e,r,29
z,ɨ,28
i,ɒ,28
t,d͡ʑ,28
ɛ,ɾ,28
ð,æ,28
j,g,28
ɾ,j,28
n̩,m,28
p,v,28
n,u,28
l̩,l,28
j,m,28
a,äː,28
æ,ɑ,28
ɾ,t,28
ð,ɾ,27
e,ɛː,27
ɔ,j,27
m̩,u,27
t,w,27
ɹ̩,v,27
d,u,27
s,e,27
d,s,27
ʒ,a,27
t,ɒ,27
t,m,27
ɪ,ɛː,27
æ,l,27
w,t,27
ɔ,n,26
æ,t,26
a,r,26
ʊ,k,26
o,ä,26
n̩,ø,26
s,u,26
o,aː,26
ð,aː,26
ɹ,y,26
s,ɒ,26
ɾ,ø,26
ʌ,f,26
s,w,26
ð,o,26
θ,r,26
v,m,26
ɾ̃,u,26
ɾ,u,26
m,i,26
ɪ̃,n,26
n,t,25
i,ɔ,25
ɑ,v,25
ɪ,t͡ʃ,25
ɹ,b,25
ɛ,ɛː,25
e,ɑ,25
ŋ,m,25
s,ø,25
a,o,25
θ,a,25
ɪ,ʃ,25
i,d,25
ð,k,25
e,o,25
b,r,25
l,oː,25
ɛ,t,25
ɾ̃,o,25
i,t,25
z,ʐ,25
b,j,25
ʊ,ɕ,25
v,d,25
ʌ,äː,25
z,u,25
s,aː,25
w,ɑ,25
w,d,25
ɪ,ɨː,24
j,l,24
ɾ̃,m,24
v,f,24
k,r,24
θ,f,24
w,e,24
ɛ,ä,24
ɛ,æː,24
z,a,24
ʊ,b,24
n̩,u,24
z,r,24
a,t,24
ð,eː,24
a,d,24
ʌ,ɡ,24
l̩,o̞,24
e,ɔ,24
ʃ,d,24
f,ɛ,24
j,d,24
ð,b,24
d,t͡ɕ,23
ɾ̃,æ,23
ɛ,h,23
k,kʲ,23
k,j,23
ʃ,n,23
a,h,23
z,d͡z,23
n̩,a,23
ɪ,øː,23
m,w,23
d,k,23
ɡ,a,23
a,v,23
ʔ,k,23
b,a,23
ʔ,j,23
ɑ,j,23
i,ø,23
ʌ,ʋ,23
d,t͡ʃ,22
ɹ,ʐ,22
ɾ̃,w,22
ɹ,p,22
ɔ,w,22
ʔ,ɾ,22
u,a,22
ʃ,ɛ̃,22
ɪ,o̞,22
o,m,22
o,ɛː,22
s,l,22
ɪ,ʐ,22
ʔ,w,22
b,m,22
a,ɔ,22
ʃ,t,22
ɡ,e,22
ð,z,22
p,f,22
d,o,22
z,j,22
ʃ,u,22
n̩,j,22
ɑ,h,22
h,e,21
ʊ,eː,21
n̩,ɯ,21
n,ø,21
n̩,ɔ,21
e,h,21
ɪ,f,21
ʌ,x,21
ɾ̃,ɒ,21
o,eː,21
ð,s,21
ð,w,21
d,m,21
o,ɔ̃,21
ɾ,o,21
ɑ,l,21
v,r,21
ɾ,ɖ,21
l,lː,21
h,i,21
ɾ̃,d,21
ŋ,a,21
æ,h,21
u,iː,21
e,l,21
ɹ,ʈ,20
ʊ,ʋ,20
l,ɑː,20
æ,e̞,20
l̩,w,20
d,w,20
l,s,20
ɾ̃,ø,20
k,kː,20
i,s,20
i,h,20
a,æː,20
o,t,20
θ,l,20
ɹ,ɯ,20
s,m,20
ʃ,w,20
ʒ,n,20
n̩,o,20
b,n,20
d,t͡ʂ,20
w,o̞,20
h,n,19
i,v,19
ɪ,ɖ,19
a,ɛː,19
l̩,a,19
ɾ,aː,19
t,h,19
t,s,19
ɹ̩,øː,19
ɹ,ɖ,19
v,ɨ,19
ɡ,n,19
ɪ̃,i,19
ʒ,u,19
v,l,19
ɔ,ä,19
n̩,l,19
ʃ,aː,19
d,ɒ,19
f,i,19
d,b,19
e,aː,19
t,t͡r,19
i,ɯ,19
ɪ,ɛ̃,19
ɪ,nː,19
ɔ,h,18
t,ɯ,18
v,a,18
v,ɛ,18
ʃ,ø,18
b,ʋ,18
k,g,18
ʊ,æ,18
i,y,18
n,e̞,18
m,e,18
ʊ,oː,18
w,ɡ,18
k,n,18
u,l,18
ʊ,ɡ,18
l,k,18
w,aː,18
a,m,18
v,w,18
θ,v,18
ɾ̃,aː,18
k,x,18
n̩,y,18
ʒ,ø,18
a,w,18
ɹ,z,18
ɹ,eː,18
ʊ̃,n,18
ɔ,äː,17
ɛ,s,17
ɔ,o̞,17
ɹ,ɡ,17
j,ɡ,17
ɹ,ä,17
v,t,17
ɹ̩,t,17
ɑ,æː,17
o,æː,17
ʔ,aː,17
h,r,17
ɪ,t͡ɕ,17
ɪ,ʔ,17
ʒ,j,17
ʌ,d͡ʒ,17
æ,ɒ,17
ɑ,i,17
n,aː,17
n,w,17
u,v,17
θ,z,17
ð,m,17
ɡ,aː,17
o,h,17
ð,θ,17
l,x,17
f,r,17
ʔ,m,17
m,t,17
ɹ̩,eː,16
n̩,t,16
e,w,16
n,ŋ,16
ʌ̃,n,16
b,ɨ,16
ʊ,t͡s,16
ʌ,iː,16
æ,w,16
d,d͡z,16
ð,ɯ,16
ʃ,t͡ʂ,16
n,h,16
e,t,16
ð,t̪,16
n̩,d,16
ɛ,v,16
o,ɯ,16
ɛ,w,16
ɔ,ɨ,16
ɪ,ɟ,16
θ,k,16
ɪ,oː,16
t,b,16
l,z,16
ɛ,ɯ,16
ɛ,y,16
o,o̞ː,16
ʃ,ɒ,16
l̩,r,16
θ,ð,16
t,y,16
s,f,16
o,k,16
n,ɾ,16
m,mː,16
ɹ,æ,16
ð,p,16
z,l,16
f,a,16
h,u,16
j,v,15
w,k,15
θ,p,15
ĩ,i,15
f,j,15
ʔ,s,15
j,y,15
ɹ̩,w,15
ɛ,b,15
ʌ,t͡ʃ,15
ɛ̃,ɛ,15
ɔ,ɾ,15
ɡ,r,15
ɪ,e̞ː,15
ɾ,v,15
ŋ,e,15
w,s,15
f,o,15
ɾ,w,15
d,ɟ,15
ɹ̩,h,15
u,ʂ,15
d,y,15
ɾ,ɑ,15
u,ɨː,15
ɪ,sː,15
j,w,15
ʊ,g,15
ɔ,i,15
n,k,15
æ̃,eː,15
n,o,15
i,m,15
e,u,15
ɪ,tː,15
t,ɑ,15
b,ɒ,15
ʌ,ɕ,15
ʃ,k,15
z,e,15
z,ʃ,15
ʌ,nː,15
ɹ,x,15
ʊ,ɲ,15
o,v,15
o,z,15
ɾ̃,ɲ,14
ɛ,ɻ,14
ð,tː,14
ɹ̩,ɑ,14
ʊ,wː,14
s,ʐ,14
u,t,14
ɹ,ɕ,14
ɔ,ɔː,14
m̩,ɛ,14
f,t,14
p,t,14
ʒ,t,14
ɾ̃,ä,14
s,h,14
b,i,14
θ,j,14
ɛ,ɛ̃,14
j,ø,14
l,b,14
ʊ,p,14
k,d,14
i,aː,14
n,v,14
æ,v,14
j,t,14
n,t͡s,14
a,ɡ,14
ʊ,ʂ,14
θ,e̞,14
ʃ,iː,14
o,s,14
m̩,i,14
ŋ,t,14
t,ʔ,13
t,ɕ,13
ɾ̃,h,13
ɔ,t,13
n,ɑ,13
l̩,ɒ,13
j,k,13
f,l,13
ʔ,g,13
k,l,13
z,zː,13
u,d,13
s,d͡z,13
m̩,a,13
æ,ɔ,13
ɾ̃,ɾ,13
ɹ,d͡ʒ,13
ŋ,g,13
ɪ,t͡ʂ,13
ʒ,ʂ,13
ʊ,d͡ʑ,13
v,i,13
i,w,13
ɑ,ɨ,13
m,u,13
o,ɔː,13
ɑ,m,13
l,ɡ,13
l,ʋ,13
ŋ,ɴ,13
ŋ,s,13
w,oː,13
ð,æː,13
ɑ,æ,13
ɪ,ɑː,13
ɔ,ɒː,13
e,v,13
a,k,13
ʌ,sː,13
k,u,13
v,n,13
e,s,13
