original,substitution,total_substitutions
ɪ,ɨ,8876
ʌ,ə,5108
ʌ,ɨ,4484
ɹ̩,ɚ,2890
u,ʉ,2544
h,ɦ,2016
ɛ,ɨ,1818
s,z,1492
i,ɨ,1186
ɾ̃,n,1034
i,ɪ,948
ʌ,ʔ,906
ɪ,i,896
ʔ,t,892
ɹ,ɚ,824
ɛ,ɪ,794
ʌ,ɚ,770
ʌ,ɪ,748
d,ɾ,744
ʌ,ɑ,730
n,ɾ̃,672
n,ð,668
ɪ,ə,660
ɪ,ɛ,654
ʌ,o,582
æ,ɛ,574
ʌ,a,566
ʌ,ɛ,560
ɹ,ɹ̩,468
ɛ,æ,456
n̩,ɨ,452
ʊ,ɨ,434
ɪ,ʔ,400
ɪ,ʉ,372
ɑ,ʌ,372
ʌ,ə̥,370
t,d,366
ɑ,ɔ,350
d,t,344
ɛ,ə,342
ɪ,ə̥,338
θ,ð,330
t,ɾ,330
ʌ,ɹ̩,314
ʌ,ʊ,312
ɛ,ʔ,306
t,ʔ,302
o,ɔ,300
ʌ,ð,298
n,ɨ,284
ɑ,a,280
ʌ,l̩,268
ɛ,ɚ,264
j,ɨ,258
u,ɨ,254
ʊ,ə,246
n̩,n,236
e,ɨ,232
ɛ,ɹ̩,230
ɛ,ʌ,224
a,e,222
j,i,220
n,n̩,218
ɪ,ɚ,210
d,ɨ,208
ʊ̃,ʊ,202
ʌ,ʉ,198
æ,a,198
ð,θ,198
f,v,196
ɹ,ɨ,190
o,ʌ,188
ʌ,n̩,186
o,ə,182
ŋ,n,182
ɛ,a,182
n,m,180
ʌ,n,180
æ,ɑ,178
ʊ,ɪ,176
j,ʔ,174
n,ŋ,174
ɛ,e,170
ɹ̩,ɹ,170
z,s,166
t,ɨ,164
d,ð,162
j,ʉ,162
ɔ,ɑ,162
n,ə,160
õ,o,160
ɪ,n,158
æ,ɨ,154
ʔ,n,154
m̩,m,152
ɪ,n̩,152
ɾ,d,148
e,i,144
ʌ,ɔ,142
i,ʉ,136
ɪ,ʊ,134
ʌ,æ,132
ð,H,132
ɪ,ɾ,130
ɑ,ə,128
ɪ,z,128
e,ɛ,122
t,ð,120
ʌ,ɾ,118
s,ɨ,118
ɡ,k,116
k,ɡ,116
ʌ,t,114
ɪ,ð,112
o,a,110
m,n,110
æ,ʔ,110
o,ɛ,108
ɪ,ʌ,106
n,d,106
ʌ,ɦ,106
s,ʃ,104
ɪ̃,ɪ,102
æ̃,æ,102
n,ʔ,102
j,ɪ,100
l̩,ə,98
a,ʔ,98
a,ʌ,98
l̩,l,98
ð,ɨ,96
ɪ,ɾ̃,94
ʃ,s,94
l,ɨ,94
s,t,92
æ,ʌ,92
a,ɨ,90
ʌ,w,90
ɑ,ʔ,90
s,ð,88
w,ɨ,88
f,p,88
ɪ,t,88
ɹ,ʔ,88
b,v,86
j,n,86
v,b,84
ɹ̩,ɨ,84
t,n,84
n̩,ə,82
l,ʊ,82
ð,d,82
ɔ,ɚ,82
ʃ,ʒ,82
a,ə,80
i,e,80
ʒ,ɨ,78
w,ə,78
æ,ɪ,78
ʔ,ɾ,78
m̩,ə,76
ɹ,ɪ,76
ɛ,n̩,76
ɛ,ð,74
a,ɑ,74
ʌ,m,74
ʌ,ɾ̃,74
ɾ,ɾ̃,72
ɪ,æ,72
o,ʔ,72
ʌ,v,72
ʌ,l,72
j,h,72
j,ɛ,70
ɑ,ɹ̩,70
ʊ,ɚ,70
s,ə,70
ʌ,z,68
ʌ,d,68
ɪ,d,68
v,f,68
ʊ,ʌ,66
l,ə,66
ɹ,v,66
ð,ə,66
d,ʔ,66
ɪ,ɹ̩,66
ɪ,o,66
u,ʊ,66
ã,a,66
d,ə,66
ʊ,ʔ,64
ʌ,e,64
ʊ,ɹ̩,64
n,ɛ,64
ʌ,i,64
ʌ,h,62
t,ə̥,62
ɹ̩,ɛ,62
o,ɪ,62
θ,H,62
ɛ,ɦ,62
ɪ,ɦ,62
ɛ,n,62
o,ɨ,60
u,ɪ,60
h,n,60
ɾ,ð,60
ʊ,w,58
n,ɪ,58
ð,ɛ,58
ɪ,w,56
h,ɪ,56
h,ɨ,56
ʔ,d,56
m,ɑ,56
t,z,56
ʌ,b,56
ɪ̃,ɨ,56
ɾ̃,ɨ,54
n̩,ʔ,54
z,ð,54
d,ɪ,54
ɾ̃,ɾ,54
ɹ̩,ə,54
u,l̩,54
b,p,54
ɔ,ʌ,52
m̩,n̩,52
ʊ,l,52
t,ə,52
æ,i,50
e,æ,50
z,ʒ,50
ɪ,v,50
s,ʔ,50
ɹ,ə,50
ʌ,u,50
h,ʔ,50
ʒ,z,48
θ,t,48
u,ə̥,48
m,ɨ,48
u,ə,48
ɪ,ɑ,46
a,æ,46
l,l̩,46
ʌ,s,46
a,ɛ,46
j,ɚ,46
ʃ,d,46
u,o,46
ʃ,ɨ,46
m̩,ɨ,44
t,ʉ,44
ɪ,j,44
i,j,44
i,ɚ,44
ɪ,l̩,44
d,n,42
ʊ,l̩,42
ʌ,m̩,42
ɹ̩,ɪ,42
ɔ,o,42
n,t,42
ɑ,ɚ,42
ɔ,ɹ̩,42
m,ʔ,42
ɔ,ɨ,42
h,ə,42
ʊ,ɔ,40
ɛ̃,ɨ,40
ʃ,ɚ,40
n̩,ɾ̃,40
ʌ,p,40
ŋ,ɨ,40
t,θ,40
n,ɚ,40
ʌ,ɹ,40
j,æ,40
b,ɨ,38
m̩,ɛ,38
ɾ,ʔ,38
o,ɑ,38
ɪ,ɡ,38
ɛ,t,38
l,ʔ,38
θ,ɨ,38
ɪ,l,38
ð,n,36
m,b,36
æ,ə,36
ɛ,ɑ,36
k,ʔ,36
l,ð,36
ɛ,ɾ̃,36
u,i,36
n,æ,36
ð,ʔ,36
ɛ̃,ɛ,36
i,ɛ,36
t,k,34
æ,e,34
d,z,34
ɹ,z,34
h,a,34
n̩,ɛ,34
m̩,ʌ,34
n,ɦ,34
n̩,ɪ,34
w,v,34
k,ɨ,34
ʊ,n,34
ʃ,z,34
ʊ,ɑ,34
s,θ,34
j,ɡ,32
ɑ,ɨ,32
ɪ,h,32
ɾ̃,ɪ,32
n,ʊ,32
j,ð,32
ɛ,h,32
o,l̩,32
ɑ,ɛ,32
d,ɚ,32
æ,ʊ,32
ɡ,ɨ,32
n,ɾ,32
ʔ,ɪ,32
