original,substitution,total_substitutions
ʌ,ɪ,1774
ɛ,ɪ,817
ɪ,ʌ,638
s,z,580
ɾ̃,n,544
i,ɪ,539
ʌ,ɛ,479
ɪ,ɛ,465
ɪ,i,448
n,ɾ̃,396
ɛ,ʌ,361
t,ʔ,336
ɛ,æ,330
ʌ,ɹ̩,327
æ,ɛ,312
d,ɾ,295
n̩,n,258
ʌ,o,257
u,ɪ,255
ʌ,ɑ,253
z,s,251
d,t,224
n̩,ɪ,211
ɔ,o,200
ʔ,t,194
ʊ,ʌ,193
θ,ð,190
ʌ,a,189
ɑ,ʌ,189
t,d,181
o,ʌ,173
ɹ̩,ɹ,165
ʊ,ɪ,163
t,ɾ,162
ɹ,ɹ̩,159
ɔ,ɑ,146
n̩,ʌ,145
n,m,128
a,ʌ,123
ʌ,ʊ,122
n,ð,119
ɹ̩,ɛ,118
ɑ,a,118
ʊ̃,ʊ,116
ɪ,ʊ,112
a,ɑ,110
ð,n,105
ɾ,d,104
o,ɔ,103
õ,o,99
n,ŋ,96
d,ð,95
ð,θ,95
e,i,89
ʌ,æ,89
ʌ,l̩,87
l̩,l,86
ŋ,n,84
ɛ,e,83
f,v,82
a,æ,81
n,ʔ,81
ɛ,a,80
ʌ,u,79
n̩,ɛ,78
æ,ɪ,78
m,n,78
m̩,ʌ,78
a,ɛ,76
ɡ,k,75
k,ɡ,74
ɪ,u,73
ɹ̩,ʌ,73
ɔ,ʌ,72
n,d,72
ɑ,ɔ,69
e,ɛ,68
m̩,m,66
ɪ̃,ɪ,64
ɑ,æ,63
i,j,62
ɾ̃,ɾ,62
l̩,ʌ,59
ɪ,ɹ̩,58
v,f,58
n,ɪ,58
v,b,57
ɹ̩,ɪ,56
o,ɛ,56
i,e,56
t,ð,53
ɪ,ɾ,53
ɪ,n,53
j,ɪ,52
d,ɪ,52
ʃ,s,52
ʌ,n,51
ʒ,z,50
t,n,49
æ̃,æ,49
b,p,48
æ,ʌ,47
æ,a,46
t,ɪ,46
ɛ,ɹ̩,45
u,i,45
ʃ,ʒ,45
j,i,44
s,t,44
ʔ,ɾ,42
ʌ,t,42
ɔ,ɹ̩,39
n,ʌ,38
s,ʃ,38
ʌ,ð,38
d,n,38
ʌ,i,36
ɪ,æ,36
ʊ,u,34
ʔ,d,34
e,æ,34
ʊ,ɹ̩,33
ɾ,ð,33
n,ɛ,33
i,ɛ,33
ʊ,l,32
ɾ,ɾ̃,32
ʌ,d,32
s,ð,32
ð,ɪ,31
t,ʌ,31
ʌ,e,31
s,ɪ,31
o,a,30
ã,a,30
ɹ,ɪ,30
ʔ,n,30
o,ɪ,29
ɪ,ð,29
ʊ,w,28
ʌ,ɹ,28
ʌ,l,28
ɪ,j,28
z,ð,28
ʌ̃,ʌ,28
l,ʊ,27
ɛ̃,ɛ,27
e,ʌ,27
t,θ,27
ʌ,ɔ,26
m,b,26
a,e,26
b,v,26
ɹ,ʌ,25
p,b,25
n,ɾ,25
i,u,25
ð,t,25
ð,ʌ,25
æ,ɑ,24
ʒ,ɪ,24
ɑ,ɛ,24
ɪ,m,24
l,ʌ,24
θ,t,24
ɪ,ɾ̃,23
ɛ,h,23
f,p,23
ɛ,n,23
ʌ,s,23
ʌ,j,23
ɛ,ɑ,22
d,ʌ,22
u,ʌ,22
t,s,22
ð,d,22
ʃ,d,22
s,ʌ,22
ɹ,ɾ,22
w,l,22
ʊ,ɛ,22
ɪ,ʔ,21
i,ʌ,21
ɑ,ɪ,21
ʌ,ɾ,21
ð,ɛ,21
ɪ,ɑ,21
ɪ,z,21
ɪ,o,21
o,ɑ,20
ŋ,m,20
ɪ,t,20
ɛ,ð,20
ɛ,i,20
l,ð,20
ɾ̃,ɪ,20
ʌ,ɾ̃,20
ɑ̃,ɑ,20
ɪ,w,19
ɪ,d,19
ʌ,z,19
n,t,19
n,ʊ,19
s,θ,18
i,æ,18
d,z,18
ɪ,l,18
z,ɪ,18
ɾ,ʔ,18
w,v,18
ʊ,v,17
ɑ,ɹ̩,17
ɔ,ɛ,17
ʌ,m,17
n̩,m,17
t,p,17
e,a,17
ɾ̃,m,17
o,w,17
ʌ,w,17
ɪ,s,17
ĩ,i,17
o,u,17
ɹ,v,16
d,ɛ,16
l,ɪ,16
ʃ,z,16
ɛ,o,16
z,n,16
w,ʌ,16
l,w,16
ɔ,ɪ,15
ʔ,k,15
ɾ,n,15
ʌ,h,15
ð,b,15
m,v,15
ɛ,ʊ,15
ɛ,ɾ,15
n,n̩,15
l,l̩,15
ɪ,v,15
z,t,14
d,s,14
ʌ,ʔ,14
t,ɛ,14
æ,e,14
m,w,14
m,ŋ,14
ɔ,w,14
ɾ,t,14
v,m,14
w,b,14
ʌ,v,14
j,ɛ,14
ʊ,n,14
β,p,13
ŋ,ɾ̃,13
ð,v,13
θ,s,13
m̩,n,13
w,ɹ,13
d,ʔ,13
l,n,13
a,o,13
ʊ,ð,13
ɪ,ɹ,13
h,ɪ,13
t,k,13
ɛ,ɾ̃,12
j,u,12
ɪ,n̩,12
ʊ,ɹ,12
n,i,12
m̩,b,12
ð,l,12
b,m,12
ɾ,ɪ,12
n,j,12
u,o,12
ɛ,j,12
ʔ,ʊ,12
ʌ,ɡ,12
ɪ,ɡ,12
v,ɪ,12
p,f,11
m,ɪ,11
t,w,11
h,ʌ,11
m,ʔ,11
ʌ,n̩,11
u,ɹ̩,11
s,n,11
p,ʔ,11
s,d,11
ʊ,ɾ,11
n,w,11
ʌ,b,11
a,ð,11
d,ʃ,11
m,ʌ,11
j,n,11
j,æ,11
ɑ,o,11
h,j,11
ɪ,h,11
u,j,11
ʒ,ʃ,11
j,ɡ,11
z,ʌ,11
l̩,ɪ,11
b,w,10
v,w,10
ʊ,l̩,10
ɛ̃,ɪ,10
ɹ,ʊ,10
ɔ,ʊ,10
o,l,10
ɪ,k,10
ʌ̃,ɪ,10
z,d,10
æ,i,10
a,i,10
b,ɪ,10
f,θ,10
w,ɪ,10
ɛ,ɹ,10
ɡ,ɪ,10
t,z,10
ɹ,ʃ,10
ʊ,ʔ,10
o,l̩,10
ɹ̩,ɑ,10
m,l,10
l,ɾ,9
b,ʔ,9
ʊ,ɑ,9
ɾ̃,ʌ,9
ɹ,l,9
ʔ,ɪ,9
ɹ,n,9
ɹ,ð,9
d,ʊ,9
a,n,9
d,v,9
ɛ,l,9
n̩,ɾ̃,9
i,ɹ̩,9
ɹ,z,9
j,ʌ,9
l̩,ʊ,9
ɛ,t,9
ʊ,s,9
n̩,t,9
