original,substitution,total_substitutions
ʌ,ɪ,1604
ɪ,ʌ,839
ɛ,ɪ,674
i,ɪ,619
s,z,524
ɾ̃,n,501
ɛ,ʌ,498
ɪ,ɛ,471
o,ʌ,415
n,ɾ̃,377
t,ʔ,365
ɪ,i,362
n,ð,358
ʌ,ɹ̩,356
ɛ,æ,337
ʌ,ɛ,325
z,s,296
æ,ɛ,283
d,ɾ,267
ʊ,ʌ,257
ʌ,ɑ,234
u,ɪ,228
ʔ,t,214
ɹ,ɹ̩,197
ɑ,ʌ,182
a,ʌ,182
t,d,180
ʌ,a,180
ʊ,ɪ,174
d,t,172
ʌ,o,169
θ,ð,166
t,ɾ,161
n̩,ɪ,161
a,ɑ,150
n,n̩,138
ð,θ,132
ʌ,m̩,131
n̩,ʌ,123
o,ɔ,123
ɔ,o,122
ɛ,e,120
ɾ,d,115
ɑ,ɔ,110
ʌ,ʊ,106
ʊ̃,ʊ,102
d,ð,99
ɛ,a,95
f,v,95
ɔ,ʌ,90
ɔ,ɑ,89
l̩,ʌ,88
n,ʔ,88
ʌ,l̩,87
ɛ,ɹ̩,86
n,ɪ,84
ʌ,æ,84
i,e,84
õ,o,83
n,ʌ,80
æ,ɪ,80
ɑ,a,79
ŋ,n,78
n,ŋ,76
æ,ʌ,75
n̩,ɛ,73
ɪ̃,ɪ,69
ɹ̩,ɹ,68
ɪ,ɹ̩,68
ɹ̩,ʌ,67
ɪ,ʊ,63
n̩,n,63
e,i,62
n,d,62
n,m,62
ɹ̩,ɛ,61
ʌ,u,60
a,æ,60
ɹ̩,ɪ,60
ɡ,k,59
m,n,57
ʃ,ʒ,55
u,ʌ,55
e,ɛ,54
ɪ,n̩,53
ɛ,n̩,53
ɹ,ɪ,52
v,f,50
m̩,ʌ,49
ʃ,s,48
ɑ,æ,48
æ̃,æ,48
t,ð,47
k,ɡ,47
j,ɪ,47
l̩,l,47
ʌ,ɔ,46
v,b,44
ʔ,ɾ,44
ɪ,u,44
ɾ̃,ɾ,43
t,ɪ,43
a,ɛ,42
ʊ,ɹ̩,42
l,ʌ,42
ʌ,i,42
ʌ,n̩,41
u,i,40
ɪ,æ,40
ɔ,ɹ̩,40
t,s,37
æ,a,37
ɹ,ʌ,37
d,ɪ,37
s,ʃ,36
m,m̩,35
ʌ̃,ʌ,35
t,θ,34
ɾ,ð,34
t,ʌ,34
ð,ʌ,33
ɪ,ð,33
n,t,33
i,ʌ,32
ʌ,ð,31
æ,ɑ,31
o,ɪ,30
j,i,30
ã,a,30
m,b,29
z,ʒ,29
ʌ,e,29
ɾ̃,ɪ,29
ð,n,29
ð,ɪ,29
b,v,29
ʊ,u,28
ɛ,o,28
i,j,27
ɑ,ɹ̩,27
ʌ,n,27
s,t,27
s,ð,26
b,p,26
s,ʌ,25
ɛ,ð,25
ʔ,d,25
i,ɛ,25
ɛ̃,ɛ,25
ð,t,24
ɾ,t,24
e,æ,23
ʊ,w,23
l,l̩,23
ʌ,d,23
n,ɛ,23
e,ʌ,23
ɑ̃,ɑ,23
t,n,23
ɛ,ɑ,23
d,z,22
o,õ,22
ɪ,ɾ,22
m̩,m,22
l,ʊ,22
ʊ,ʊ̃,22
ɪ,n,22
o,ɛ,22
w,ʌ,22
z,ð,22
s,ɪ,21
d,ʌ,21
p,b,21
m,v,21
ʌ,t,21
ɑ,ɪ,21
t,k,21
ʒ,z,20
l,ð,20
ɾ,ʔ,20
ɹ̩,ɑ,20
l,ɪ,19
s,θ,19
ɪ,j,19
n,ɾ,19
ɾ,ɾ̃,18
ɛ,i,18
e,a,18
ʃ,d,18
ɛ,h,18
m,p,17
ɹ,v,17
i,u,17
æ,e,17
ɾ̃,ʌ,17
ʊ,l,17
ʊ,ɛ,17
f,p,16
ð,z,16
ʌ,ɹ,16
ɹ̩,ɔ,16
z,ʌ,16
ɪ,l,15
m,ɪ,15
j,ʌ,15
ð,s,15
o,w,15
a,o,15
ɪ,ɹ,15
ɪ,ɑ,15
d,s,15
a,e,15
d,n,15
n,i,15
ʃ,ɪ,15
ɛ̃,ɪ,14
ɪ,v,14
ʔ,n,14
ɹ,ʃ,14
ĩ,i,14
ɪ,d,14
z,ɪ,14
d,ʔ,14
j,ɛ,14
ɹ̩,i,14
o,a,14
l̩,ʊ,14
ɪ,z,14
n̩,m̩,13
ʌ,s,13
ɾ,ʌ,13
ɾ̃,m,13
ð,d,13
j,u,13
m̩,n̩,13
ʊ,l̩,13
o,ɑ,12
β,p,12
f,θ,12
ɹ,ɛ,12
t,ɛ,12
ɑ,ɛ,12
p,ʔ,12
ʌ̃,ɪ,12
ɪ,s,12
ɹ,w,12
ʔ,p,12
ɑ,o,12
ɾ,ɪ,12
ɪ,w,12
w,l,12
m,w,12
ʊ,ð,11
ʊ,s,11
ɪ,m,11
v,ʌ,11
θ,s,11
l,b,11
t,a,11
n,s,11
m,ʌ,11
w,ɪ,11
ɛ,t,11
ʃ,z,11
ɛ,ʊ,11
h,ɪ,11
ʔ,k,11
ð,ɛ,11
ɔ̃,ɔ,11
u,ɹ̩,11
θ,t,11
ʌ,z,11
v,w,11
w,b,11
ʌ,w,10
n,ɑ,10
ɪ,t,10
l,ɾ,10
l̩,ɪ,10
ɔ,w,10
ʒ,ɪ,10
ʊ,n,10
ʌ,ɾ̃,10
ɹ,ʊ,10
ɔ,ʊ,10
i,æ,10
v,ɪ,10
ʌ,ʔ,10
ɪ,o,10
i,a,10
h,ʌ,10
v,ð,10
ð,l,10
ʔ,ʊ,10
ɪ,ɾ̃,9
n,j,9
d,v,9
æ,ð,9
d,b,9
ɛ,ʔ,9
ð,æ,9
ʌ,h,9
ɛ̃,ʌ,9
ʊ,ɾ,9
n,a,9
ʌ,j,9
ɛ,n,9
l,a,9
ŋ,ɪ,9
t,p,9
ʔ,ɪ,9
ɪ,ʔ,9
æ,i,9
ɾ̃,ɛ,8
n,ʊ,8
j,ɡ,8
ɾ̃,ð,8
j,ʒ,8
m,ʊ,8
m,i,8
ɔ,ɪ,8
u,w,8
ɹ̩,ʊ,8
a,ɔ,8
t,ʒ,8
ʊ,ɾ̃,8
u,ʊ,8
ɹ,ð,8
ɛ,j,8
m,ð,8
h,ɛ,8
