original,substitution,total_substitutions
ɨ,ɪ,4704
ə,ʌ,3741
ɚ,ɹ̩,3202
g,ɡ,2704
ɨ,ʌ,2634
ʉ,u,2081
ɨ,ɛ,1777
ɦ,h,1408
t,ʔ,1029
ɪ,ɛ,942
ɚ,ɹ,923
ɨ,i,780
z,s,780
ɔ,ɑ,555
ɾ̃,n,447
l̩,ʌ,431
i,ɪ,412
ɪ,i,403
a,ɑ,397
ɪ,ʌ,364
ɛ,æ,349
i,e,323
ɔ,o,284
ɹ̩,ɹ,269
æ,ɛ,266
ʔ,ɛ,266
ɑ,ɔ,245
ʔ,ɪ,238
d,t,237
ɚ,ʌ,222
ʔ,ʌ,221
ɨ,ʊ,207
n̩,ʌ,202
ɾ,d,189
o,ʌ,170
ð,n,163
ʊ,ʌ,154
ə̥,ʌ,151
ɛ,ʌ,147
d,ɾ,145
ɹ̩,ʌ,143
n̩,n,137
ə,ʊ,134
ə,ɪ,126
ʔ,ɑ,123
ə̥,ɪ,122
ɹ̩,ɛ,117
ə,ɛ,115
ʌ,ɑ,114
v,f,107
ŋ,n,103
n,ŋ,103
H,ð,100
t,d,100
ʉ,ɪ,96
ɪ,ʊ,96
n,ɾ̃,94
s,z,93
ɨ,n,91
ʉ,j,91
ɔ,ʌ,87
ɨ,u,85
t,ɾ,84
g,k,83
ɹ,ɹ̩,82
e,a,80
ʔ,t,76
ɪ,ɹ,73
ɔ,ʊ,73
ɨ,e,72
ʔ,æ,71
ʔ,o,68
l̩,l,68
ʔ,ɔ,68
e,ɛ,67
m̩,ʌ,66
ə,l̩,65
ʌ,ɛ,65
ɨ,ɹ̩,64
ʊ,l,61
ɨ,ɹ,55
ʒ,j,54
ɨ,t,54
ʃ,s,53
ð,ʌ,52
l̩,ʊ,52
g,ɪ,51
ɚ,ɛ,50
ɪ,ɹ̩,49
n,m,47
ə,n,46
ʒ,ʃ,46
ɑ,ʌ,46
ɛ,ɪ,45
ɨ,æ,44
n̩,ɛ,43
n̩,ɪ,42
ɚ,ɪ,42
m,n,41
p,b,41
θ,ð,41
o,ɔ,39
ð,θ,39
a,æ,38
æ,a,38
ʉ,ʊ,38
ɪ,æ,38
ɨ,j,38
ə,ɹ̩,37
i,j,37
ɨ,d,36
ə,o,34
ʔ,l,34
p,f,33
v,b,32
n,ʔ,32
ɹ̩,ɑ,32
ɾ,t,32
l,ʌ,32
b,v,32
d,ð,31
ə,u,31
ʉ,t,31
ɨ,ð,30
e,æ,30
ɪ,ɡ,30
ɾ,ɾ̃,29
ə̥,t,29
b,p,28
j,d,28
ʌ,ɔ,27
ʊ,ɪ,27
ɨ,n̩,27
t,n,26
ɛ,e,26
æ,ɑ,26
s,ʃ,25
ʊ,u,25
a,ʌ,24
ð,t,24
ɪ,n,23
ɚ,j,23
ɚ,ʒ,23
ɹ,ʌ,22
ʉ,i,22
ʊ,ɹ̩,22
z,t,22
ɨ,s,22
k,ɡ,22
ʔ,e,21
ʌ,o,21
m̩,m,21
ə,ð,21
ɚ,ɑ,21
ʒ,z,21
ə,ɑ,21
ʔ,ɾ,20
ɚ,ʊ,20
ð,d,20
ɨ,h,19
θ,s,19
ʃ,ʒ,19
ɚ,d,19
ŋ,ɡ,18
ɑ,æ,18
ə,ɹ,18
ɹ̩,ɪ,18
w,ʊ,17
