symbol,total_insertions
j,846
ɛ,818
a,594
r,462
i,429
n,380
e,332
w,317
ɯ,288
ɾ,276
ɔ,269
aː,258
ɨ,232
u,231
ɒ,204
ɡ,182
s,156
o,151
l,126
e̞,116
y,112
ø,110
k,108
d,107
m,100
ɻ,99
ä,99
t,90
v,85
ʂ,84
ɑ,75
h,57
z,52
ɕ,50
ɲ,43
o̞,41
eː,35
t͡s,30
æː,29
b,29
æ,26
ʐ,25
äː,24
iː,23
f,22
t͡ɕ,19
jː,18
d͡ʑ,16
yː,15
ʃ,14
p,14
g,14
t͡ʂ,13
t͡ʃ,13
oː,11
x,11
ɛ̃,10
ɖ,10
uː,9
ɟ,7
ɑː,7
ʋ,7
tː,7
d͡ʒ,6
øː,6
ɛː,6
lː,6
ʑ,6
ç,5
ɴ,4
ŋ,4
ɨː,3
ɔ̃,3
t͡ɨ,3
ɯː,3
ː,3
ɒː,3
ʈ,3
ʔ,3
kʲ,2
ɔː,2
θ,2
dː,2
ä,2
zː,2
nː,2
ð,2
bː,2
o̞ː,2
e̞ː,2
ɣ,2
iːː,1
t͡ɯː,1
ɲː,1
̞,1
ɸ,1
t͡ɛ,1
t͡a,1
mː,1
ɕː,1
ɔ̃ː,1
͡,1
t͡y,1
t̪,1
ʒ,1
rː,1
ɳ,1
d͡z,1
pː,1
