original,substitution,total_substitutions
g,ɡ,2926
ɝ,ɹ̩,2000
ɨ,ɪ,1057
ɪ,ɨ,759
ə,ɨ,737
ɨ,i,689
ɝ,ɚ,651
ɨ,ə,620
ɚ,ɹ̩,562
ɑ,ɔ,346
ɪ,i,342
ə,ʌ,246
ɾ̃,n,244
ʌ,ə,237
s,z,226
ʔ,t,219
ɪ,ɛ,216
i,ɨ,188
u,ʉ,167
n,ɾ̃,164
ɔ,ɑ,161
ɨ,ɛ,159
ɛ,æ,149
n̩,ɨ,129
h,ɦ,127
ɛ,ɨ,120
ə,l̩,119
i,ɪ,119
ʉ,u,115
ɚ,ɹ,112
æ,ɛ,109
ɹ,ɚ,107
t,ʔ,106
n,ŋ,99
ɛ,ɪ,97
ə̥,ɨ,92
ɾ,d,88
d,ɾ,85
ɨ,ɚ,76
ə,ɚ,74
ɑ,a,71
ɨ,ʉ,67
ɦ,h,65
n̩,n,57
z,s,55
l̩,ə,54
ɝ,ɹ,54
ŋ,n,52
ɝ,ɛ,46
ɚ,ɨ,46
ə̥,ə,45
ʌ,ɑ,42
ɨ,ə̥,41
o,ɔ,38
ɚ,ə,38
ʌ,ɔ,37
ʉ,ɨ,36
ʌ,ɨ,36
ə,ɛ,36
ʊ,ʌ,35
ʌ,ɛ,35
a,ɑ,34
ɨ,ʌ,34
ə,ɪ,32
ɨ,ʊ,31
ʊ,ə,31
d,t,31
n̩,ə,30
θ,ð,29
ɨ,n̩,29
m̩,ə,28
ʊ,ɨ,28
ɾ,t,28
n,n̩,28
m̩,m,28
ɪ,ə,27
ɛ,e,27
ʒ,j,26
ʊ,ɪ,24
ə,ə̥,24
t,d,24
ɛ,ʌ,23
ə,o,23
t,ɾ,23
l̩,l,23
ɨ,ʔ,23
ɔ,o,22
ɪ,ʔ,22
ʃ,s,22
ɛ,ɹ̩,22
ɪ,ʌ,20
ʊ,u,20
ɑ,ʌ,20
s,ʃ,19
ə,ʔ,19
ʊ,l̩,19
v,b,18
ɑ,æ,18
ð,θ,18
e,ɛ,18
ɝ,ɪ,17
d,ð,17
ŋ̍,ɨ,17
n,m,17
ʊ,ɔ,17
m̩,ɚ,16
ʌ,o,16
e,æ,15
ɪ,ʊ,15
ʌ,a,15
ʌ,ɪ,15
m̩,ɨ,15
h,ʔ,15
l̩,ʊ,14
æ,a,14
ʒ,z,14
ʊ,ɚ,13
ɛ,ʔ,13
ɪ,ɡ,13
j,ʒ,13
z,ʒ,13
ɨ,e,13
ə,ɔ,12
ŋ̍,n̩,12
ʃ,ʒ,12
g,ɨ,12
ə,ʊ,12
ʔ,ɨ,12
ʊ,ʉ,12
ŋ̍,ŋ,12
ə̥,ɚ,12
ɹ,ɹ̩,11
ɨ,ð,11
ɨ,l̩,11
æ,ɑ,11
ʉ,i,10
ð,d,10
f,v,10
g,ŋ,10
n,ð,9
l,l̩,9
ʌ,l̩,9
t,n,9
ɝ,ɑ,9
ɚ,ɔ,9
ɪ,ɚ,9
ə,ʉ,9
ʉ,ʊ,9
ɚ,ɑ,8
g,ɪ,8
m,n,8
ɪ,j,8
e,ɨ,8
t,z,8
ɝ,j,8
e,i,8
ʉ,j,8
m̩,n̩,8
ʌ,ʔ,7
ʔ,ɪ,7
ə,ð,7
æ,ʔ,7
æ,ɪ,7
ɨ,ɹ,7
ʊ,l,7
a,æ,7
j,ɹ̩,7
t,θ,7
ʊ,ɹ,7
n,ɡ,6
ʔ,d,6
ɨ,u,6
æ,e,6
ʌ,ɹ̩,6
t,k,6
ɛ,ə,6
ɔ,ʌ,6
ʔ,ə,6
ə,u,6
ə,n̩,6
ə̥,u,6
p,t,6
ɝ,ʔ,6
ʌ,ɚ,6
ʔ,n,6
ʉ,ɚ,6
g,n,6
ə,ɑ,5
ʔ,ɾ,5
i,e,5
ʌ,ʊ,5
ɨ,t,5
θ,t,5
i,j,5
o,ə,5
ʔ,ʌ,5
u,ʊ,5
ʔ,p,5
ə,m̩,5
b,v,5
l,ɨ,5
ɨ,ɹ̩,5
ɛ,ɚ,5
ə,ɹ,5
ʃ,t,4
ɚ,ʊ,4
ʌ,æ,4
ɨ,ɡ,4
n̩,ʔ,4
g,l,4
ɪ,ɹ,4
ɹ,ɨ,4
o,ʌ,4
ɨ,h,4
ɨ,d,4
ɨ,n,4
ʌ,ð,4
j,ɚ,4
d,ʃ,4
ʔ,ɑ,4
t,ʒ,4
ɑ,ʔ,4
ɪ,ɾ,4
ɚ,ɪ,4
l̩,o,4
g,k,4
n,ɨ,4
ɨ,æ,4
j,i,4
j,d,4
ɾ̃,ɾ,3
ɚ,j,3
ɝ,w,3
z,ð,3
ɪ,ʉ,3
ʒ,ʃ,3
g,t,3
ɝ,ɨ,3
h,ɨ,3
n̩,ɚ,3
ʉ,ɹ̩,3
p,b,3
ɔ,ʔ,3
ɹ,i,3
ə̥,ʉ,3
f,θ,3
w,u,3
g,ɹ,3
ʊ,w,3
ɪ,ɹ̩,3
ɪ,o,3
ɛ,ɑ,3
ɝ,ɔ,3
ʔ,æ,3
ɪ,ð,3
l,ʊ,3
m,m̩,3
ʔ,ɛ,3
a,ʌ,3
ɪ,t,3
ɪ,l̩,3
ɔ,ə,3
f,p,3
ɝ,X,3
s,d,3
ɝ,h,3
i,ɹ,3
h,ɪ,3
l,ɡ,3
l̩,ʌ,3
ɾ̃,ɨ,3
ɨ,l,3
ɔ,ʊ,3
b,p,3
ɹ,ɪ,3
g,ə,3
ə̥,n̩,3
ɪ,ɾ̃,3
v,f,2
a,ɔ,2
ʃ,z,2
ɹ,v,2
d,ʔ,2
n,ɪ,2
ŋ,m,2
m̩,l,2
d,ɚ,2
d,z,2
ʔ,h,2
ɪ,w,2
l,ɪ,2
ɝ,ʒ,2
ə̥,m̩,2
s,l,2
a,ʔ,2
o,a,2
ə̥,i,2
ɝ,n,2
ð,ɨ,2
ʃ,d,2
ɚ,ɛ,2
f,m,2
ɝ,ɡ,2
ŋ,ɡ,2
ɔ,ɹ̩,2
a,o,2
ɹ,ɡ,2
θ,d,2
l,ə,2
ʒ,d,2
w,ʊ,2
ɨ,X,2
l̩,ɪ,2
ə,n,2
ʉ,l,2
g,m,2
ɛ,a,2
ɹ,ʃ,2
ʔ,ɔ,2
ə,h,2
l,ʔ,2
ð,H,2
ʊ,ɛ,2
ɡ,k,2
i,ʉ,2
ɝ,ʌ,2
ɔ,ɚ,2
ɝ,ə,2
a,e,2
e,a,2
t,ð,2
z,ɨ,2
ə,ɾ̃,2
ə,t,2
ɛ,i,2
d,ɪ,2
n̩,ŋ,2
u,ɚ,2
t,ɪ,2
g,ʉ,2
h,n,2
ɦ,ʔ,2
j,ə,2
h,ɚ,2
ɨ,o,2
ɝ,ʊ,2
n,d,2
d,ɨ,2
ə,d,2
u,ə,2
j,ʉ,2
ɪ,d,2
ɹ,m,2
u,ɨ,2
o,l̩,2
d,n,2
θ,s,2
w,ɹ̩,2
ʊ,ɹ̩,2
g,j,1
l̩,ð,1
ɔ,l,1
l,b,1
ʔ,ɹ,1
ə,j,1
ʌ,ɾ̃,1
ɚ,ə̥,1
k,ɡ,1
i,ə,1
ʒ,n,1
w,v,1
d,l,1
p,s,1
ʃ,ɚ,1
ɚ,ɦ,1
m,b,1
ə,ɾ,1
ə,i,1
l̩,ɑ,1
s,n,1
ɑ,X,1
n̩,ɪ,1
l,z,1
j,ʔ,1
ɚ,h,1
l,u,1
a,ɛ,1
ʊ,ɾ̃,1
ɔ,m,1
ɾ,ɹ,1
n,z,1
n,ɛ,1
ɾ̃,ʔ,1
ʔ,a,1
ɾ,ɾ̃,1
z,n,1
ə,w,1
ɔ,ɨ,1
t,p,1
s,t,1
j,ʃ,1
m,ɨ,1
v,n,1
ɨ,f,1
w,ə,1
ɛ,b,1
ɾ̃,ʊ,1
n̩,ɾ̃,1
ʌ,l,1
ɑ,ə,1
ŋ̍,ɾ,1
u,ɪ,1
ɹ,ɦ,1
ʒ,ɹ,1
m̩,H,1
ɾ̃,æ,1
ʌ,X,1
j,n,1
l,i,1
ɾ̃,n̩,1
z,d,1
ɦ,i,1
g,n̩,1
ə,ɹ̩,1
u,ʒ,1
j,ɨ,1
k,t,1
n,ə,1
d,ə̥,1
o,u,1
ɪ,ŋ,1
ɹ,ɔ,1
ŋ,n̩,1
h,m,1
ð,ɾ,1
ʉ,n,1
θ,l,1
ʔ,ɚ,1
n̩,ɡ,1
v,ɨ,1
ʊ,æ,1
ʔ,ɾ̃,1
ɝ,d,1
ɦ,æ,1
ɪ,ɑ,1
ɨ,ɦ,1
ʔ,b,1
ɹ,l̩,1
ɪ,ə̥,1
e,ʔ,1
s,ɹ̩,1
m̩,ə̥,1
ɝ,ɾ,1
ə,e,1
ɚ,ð,1
ɔ,ɛ,1
j,ɪ,1
w,m,1
ɚ,ʒ,1
ɝ,l,1
ə̥,t,1
g,b,1
o,ɚ,1
ə,l,1
b,d,1
ɛ,ð,1
ɑ,h,1
ɦ,a,1
ɑ,ʊ,1
ɹ,ɑ,1
æ,ʌ,1
ɦ,ɪ,1
ɔ,ɪ,1
ʃ,ʊ,1
H,ɪ,1
ɨ,H,1
n̩,ə̥,1
ɝ,u,1
ɦ,e,1
t,ɾ̃,1
z,l,1
u,h,1
h,ə,1
ɹ,w,1
t,ɨ,1
d,s,1
ʔ,ð,1
v,ð,1
H,θ,1
ʊ,ɡ,1
d,ɹ̩,1
ʒ,s,1
i,w,1
v,p,1
æ,ð,1
v,z,1
ʉ,ɹ,1
H,d,1
ɝ,ɦ,1
H,ɹ̩,1
ə̥,ð,1
n,t,1
ɑ,ɪ,1
g,d,1
z,ʌ,1
ɾ̃,ŋ,1
g,ə̥,1
i,ə̥,1
ð,z,1
ɛ,o,1
i,æ,1
ɔ,l̩,1
w,l̩,1
ʔ,e,1
ʃ,ɡ,1
ɚ,m̩,1
u,o,1
ɾ,l,1
w,ɨ,1
H,ə,1
l̩,ɨ,1
ɝ,ʉ,1
d,θ,1
ɾ,n,1
ʔ,k,1
l,ɹ̩,1
j,ɛ,1
ʊ,m,1
ʃ,h,1
θ,f,1
t,ɡ,1
f,t,1
ɝ,i,1
j,ɾ,1
æ,ɦ,1
n,i,1
n,ɹ,1
ʃ,f,1
h,f,1
t,ɔ,1
ð,æ,1
ɛ,t,1
g,v,1
ə,a,1
ɨ,m̩,1
ɝ,o,1
w,ɪ,1
ɪ,l,1
ʉ,d,1
s,ɪ,1
