original,substitution,total_substitutions
i,iː,4075
ɨ,ɪ,3502
ɑ,ɑː,3435
ɨ,ə,3103
g,ɡ,2485
ʉ,uː,2013
ɔ,ɑː,1482
ɦ,h,1381
ɔ,ɔː,1261
ɾ̃,n,1118
ɹ̩,ɜː,1023
ɹ̩,ɚ,1016
ɛ,æ,1011
l̩,ə,996
i,ɪ,929
ɨ,ɐ,911
ɾ,d,824
ɚ,ɹ,800
ɨ,ᵻ,768
ʔ,t,700
n̩,ə,700
ə,ɐ,665
u,uː,607
ə,ʌ,578
ɨ,i,512
ʔ,ɑː,485
ɔ,o,472
ə,ɪ,428
ɨ,æ,410
ɔ,oː,368
ɔ,ɹ,367
ɪ,ə,365
s,z,353
ʔ,ɐ,298
ʔ,ɔː,278
ʔ,ɪ,270
ʔ,ɹ,267
ɨ,ɹ,265
ʔ,æ,264
ɪ,ɹ,255
ɨ,ʌ,236
ɾ,t,230
θ,ð,225
ɹ̩,ɹ,219
ɨ,ɛ,217
ə̥,ə,210
ɪ,iː,206
ʌ,ə,206
ɪ,æ,202
ɪ,i,196
ɪ,ɛ,189
ɚ,ɜː,188
ɪ,ᵻ,176
ŋ,n,174
ɨ,iː,163
ʔ,o,155
ɚ,ɔː,152
ə,ᵻ,152
g,n,138
ʌ,ɐ,137
ə,ɚ,135
g,d,135
ʉ,ə,130
t,ɾ,130
ɑ,a,126
ɨ,uː,125
ʔ,iː,118
n,ŋ,116
ə̥,ɪ,114
ɛ,ə,112
ɪ,ɐ,109
e,ɐ,109
H,ð,108
ɨ,t,108
ɾ̃,t,106
ɨ,n,104
n̩,æ,102
ɛ,ɐ,102
d,t,101
j,uː,97
ɑ,æ,96
n,t,92
ɨ,ɚ,92
ʔ,oː,90
ɑ,ɹ,86
m̩,ə,83
ə,ɹ,81
ɚ,ɑː,81
ɹ̩,ɔː,78
ʔ,l,78
ɛ,ɪ,77
ɛ,e,76
ʉ,j,75
ʊ,ʌ,75
ʌ,ɑː,74
l̩,ɪ,73
i,e,72
n̩,ɪ,71
ʊ,ə,71
ɨ,d,69
ʃ,s,68
ʒ,j,66
ɪ,ʊ,66
ɚ,ə,64
ə,o,63
ə,æ,63
ɨ,h,62
ɹ̩,ɛ,60
ɨ,l,59
i,ə,58
ʔ,n,57
i,ᵻ,55
ɨ,ʊ,52
t,d,51
d,ɾ,50
ʔ,ʌ,49
ɨ,ð,48
ʉ,ʊ,48
ʔ,ɛ,47
ɛ,ɜː,43
ɔ,a,42
ŋ,ɡ,40
ʊ,uː,40
i,ɹ,39
ɹ̩,æ,39
ə,ɛ,39
ʔ,ɜː,39
ɑ,ɔ,38
g,l,38
ɚ,ɪ,38
u,ʊ,38
m,n,37
ɹ̩,ɪ,37
ɹ,ʊ,37
ʊ,ɪ,37
ɪ,ʌ,36
ɹ̩,ɑː,36
ʌ,ɪ,36
ɚ,ᵻ,35
ʌ,ɚ,35
ɑ,ɔː,35
l̩,l,35
ʉ,t,35
ʌ,ɔ,34
ɨ,j,34
a,æ,33
m̩,ʌ,33
ɛ,h,33
ɚ,ɐ,32
d,ð,32
v,b,32
t,n,32
l̩,ɹ,32
z,s,32
a,ɑː,32
ʌ,ɛ,32
ʊ,ɔː,31
ʒ,z,31
s,l,30
æ,ɛ,30
ə̥,ᵻ,30
ʔ,d,29
n̩,n,29
ɛ,n,28
i,ð,28
