original,substitution,total_substitutions
ɪ,j,6444
ɨ,ə,4537
ʊ,w,3047
ɨ,ɪ,2966
ɾ,t,2558
ɚ,ɹ̩,2428
g,ɡ,2395
ʉ,u,1985
ɦ,h,1381
d,d͡ʒ,1109
ɛ,æ,1083
ɚ,ɹ,1034
l̩,ə,1031
ɨ,æ,992
ɾ̃,n,935
t,t͡ʃ,888
ɾ,d,857
ʔ,t,788
ɨ,i,785
ɪ,ə,727
ɚ,ɔ,694
o,ɑ,677
ɔ,ɑ,612
ɔ,o,595
n̩,ə,570
i,ɪ,561
ʌ,ə,462
s,z,398
ə,ʌ,386
i,ə,345
ɪ,i,329
ɔ,j,318
ʔ,æ,309
ʊ,n,302
ʒ,j,299
ə,ɪ,296
ʔ,ɪ,294
ɾ̃,t,293
ɹ̩,ɹ,283
ə̥,ə,283
ʔ,o,280
ɪ,æ,266
ɹ̩,ɔ,265
θ,ð,224
g,d,218
ʒ,ə,218
ɑ,ɔ,216
ʔ,ə,208
z,s,207
n̩,æ,205
ə,ɑ,204
ɹ,ɹ̩,197
ŋ,n,193
ɨ,t,187
ʉ,ə,180
ɛ,ə,170
ɪ,ɛ,166
ʌ,ɑ,164
ɑ,a,159
g,n,141
ɨ,ʌ,137
d,t,133
ʒ,d͡ʒ,132
ʃ,t͡ʃ,131
ɨ,ɛ,130
ə,æ,125
ɚ,ə,120
e,ə,116
n,ŋ,113
ə,ɹ̩,111
H,ð,111
ɨ,n,109
ʃ,ə,107
ʒ,ɪ,105
ʉ,j,99
ɚ,ɑ,98
ɹ̩,ʊ,96
ɨ,ɹ,96
ʔ,ɑ,90
n̩,n,90
ɹ̩,ɛ,89
ɨ,h,86
ʃ,s,83
ɨ,ɑ,80
ʃ,ɹ̩,78
ɨ,u,77
l̩,ɪ,76
ɨ,d,76
ʔ,ɔ,75
ə,o,74
m̩,ə,73
ʔ,l,71
ɾ,ə,71
u,ə,71
ɨ,ɹ̩,70
ɨ,ð,68
ɨ,ʊ,61
n̩,ɪ,58
i,ɛ,58
ə̥,ɪ,56
ɛ,e,52
ɛ,ɪ,51
ə,ɛ,51
ɪ,o,51
l̩,l,51
ɚ,t,49
ʒ,z,49
ɨ,j,49
ʊ,ɔ,49
ɨ,l,48
ʒ,ɹ̩,48
ʔ,n,47
ʔ,ɹ,47
ʊ,ə,46
ʔ,ʌ,45
ɚ,ɛ,45
ʊ,j,44
ʌ,o,41
ɹ,w,40
ʔ,j,39
ʒ,ʌ,38
ʃ,j,38
ɚ,j,37
ʔ,d,37
ʉ,t,37
g,l,37
ɪ,t,36
v,b,36
g,ə,36
ʌ,ɔ,36
ɹ̩,æ,35
e,i,35
m̩,ʌ,34
ə,ɹ,34
ʌ,ɛ,33
ʔ,ɛ,33
t,ə,32
ɹ̩,ɑ,32
t,n,32
ɚ,ɪ,31
s,l,31
ŋ,d,31
ɾ,ɹ,30
g,ɹ,30
m,n,30
ʌ,æ,30
ɑ,æ,29
t,d,28
i,ð,28
ɛ,h,28
ə,ɔ,28
ʊ,o,28
e,æ,28
ʒ,u,28
ð,θ,27
ɦ,d,27
ʒ,o,27
ʊ,ɑ,26
ɪ,a,26
ə̥,t,26
d,ə,26
ɪ,ɡ,26
ɨ,ɔ,26
ʊ,ɪ,25
ɛ,t,25
ʃ,u,25
d,ð,25
ɛ,n,25
ɹ̩,ɪ,25
ɪ,n,25
ŋ,ɡ,24
ɚ,d,24
ɨ,o,24
ɪ,ɹ,23
ʔ,a,23
ʊ,u,22
o,ɔ,22
ʃ,ɡ,22
ʌ,a,21
ʊ,ʌ,21
l̩,n,21
l̩,t,21
ɔ,n,20
ʌ,ɹ̩,20
ɔ,ʊ,20
ɑ,ə,20
æ,ɛ,20
ɚ,h,20
m̩,ɹ,19
ɨ,e,19
f,v,19
ə,u,19
ɨ,z,19
ŋ̍,ɪ,19
ʊ,ɹ,19
ʒ,ɛ,19
ɔ,w,19
ɑ,w,18
ʔ,ɹ̩,18
t,ɹ,17
l̩,w,17
ɪ,ʌ,17
o,ə,16
ɪ,e,16
ɦ,l,16
ə,i,16
d,u,16
i,e,16
ʌ,ɪ,15
ɪ,d,15
ɾ̃,æ,15
ʊ,ɹ̩,15
e,ɛ,15
ɾ,ɪ,15
ɨ,ɡ,15
ɦ,ə,14
ŋ̍,æ,14
ʌ,ɹ,14
ə,t,14
ɪ,ɹ̩,14
ɾ,j,14
ɚ,z,14
g,ɪ,14
i,j,13
t,θ,13
ɾ,w,13
j,i,13
d,ɡ,13
ɹ̩,j,13
ɚ,i,13
æ,ə,13
t,z,12
ʉ,ʊ,12
ɹ,j,12
ɾ̃,d,12
æ,ɑ,12
ʉ,ɡ,12
ʊ,l,12
ɪ,ɑ,12
ɑ,ʌ,12
m̩,ɪ,12
ɔ,d,12
ʉ,i,12
ʉ,n,12
a,æ,12
ɪ,s,12
d,ɹ,12
ʔ,u,11
w,ə,11
ɚ,ɡ,11
ʉ,ɹ,11
æ,a,11
ə̥,ʌ,11
ʃ,d͡ʒ,11
ɦ,ɹ,11
d,n,11
ʒ,t͡ʃ,11
ɑ,j,11
ə̥,ɹ̩,11
ɨ,s,11
ə̥,ð,11
æ,e,11
ɛ,ʌ,11
ɪ,ʊ,10
h,ɪ,10
ɔ,t,10
n,ð,10
ʃ,ɛ,10
ə,ʊ,10
ɪ,l,10
ʉ,d,10
t,l,10
n̩,t,10
s,n,10
ʃ,æ,10
t,ð,9
ɚ,ʊ,9
ɦ,t,9
ʃ,ɪ,9
ʌ,l,9
t,ɪ,9
ɾ̃,ɹ,9
t,k,9
k,ɡ,9
ʃ,ʒ,9
ð,d,9
i,n,9
g,t,9
ə,h,9
l̩,ʊ,8
ɔ,m,8
n,d͡ʒ,8
ɛ,a,8
g,k,8
ʌ,t,8
ʒ,æ,8
d,j,8
ɚ,w,8
l,j,8
d,ɪ,8
ɨ,ŋ,8
ʌ,ð,8
n,m,8
p,t,8
f,p,8
ʔ,p,8
ʃ,h,8
ʉ,ʃ,7
t,d͡ʒ,7
a,ɑ,7
ɑ,d,7
ɹ,a,7
l̩,ɛ,7
ɔ,p,7
ɨ,a,7
ɾ,ɹ̩,7
ɦ,ɹ̩,7
g,u,7
ə̥,u,7
ʔ,w,7
ɹ,ə,7
i,d,7
ə,a,7
ə̥,i,7
ə̥,ɹ,7
ɔ,k,7
z,ɪ,7
l̩,ɹ,7
ɾ̃,ŋ,7
ʉ,ɔ,7
ɾ,ð,7
ɚ,b,7
ə,l,7
ɛ,d,7
ɾ,u,7
ɾ̃,ɪ,7
ɾ,l,7
ʒ,ɔ,7
ʊ,t,6
ɾ,æ,6
w,i,6
h,ə,6
ɔ,ʌ,6
s,t,6
d,z,6
ŋ̍,ŋ,6
