dialect,model,phone_error_rates,phone_feature_error_rates,feature_error_rates
DR1,allosaurus_eng2102_eng,0.40196106905377676,4.495918367346939,0.23741365649213172
DR2,allosaurus_eng2102_eng,0.38101703163845485,4.410294117647059,0.24129317811691223
DR3,allosaurus_eng2102_eng,0.3841045895589818,4.3785130718954255,0.24022510094298
DR4,allosaurus_eng2102_eng,0.39699559350348174,4.572166666666666,0.24385922701524385
DR5,allosaurus_eng2102_eng,0.4018358294476678,4.64030612244898,0.2388784908577906
DR6,allosaurus_eng2102_eng,0.388810012797249,4.385416666666666,0.23426912907884131
DR7,allosaurus_eng2102_eng,0.38903001193606057,4.465333333333333,0.2386876753105899
DR8,allosaurus_eng2102_eng,0.3873576795643253,4.432828282828282,0.23856042031762734
DR1,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.2803482406857874,3.3540816326530614,0.21185204218800643
DR2,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.2625018938296675,3.380718954248366,0.22044978374814833
DR3,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.2642132907917771,3.2620506535947715,0.21316136845422268
DR4,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.29320833363209053,3.600041666666667,0.224249092575099
DR5,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.29348488999931927,3.6177295918367345,0.2177332970593945
DR6,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.27071346351086756,3.3955615942028987,0.2172010295171391
DR7,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.26930808228485603,3.3577083333333335,0.21290207475173992
DR8,ginic/full_dataset_train_3_wav2vec2-large-xlsr-53-buckeye-ipa,0.2583942595453413,3.2290404040404037,0.20707485336580742
DR1,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6456055358839643,6.012244897959183,0.2988061711648215
DR2,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.63812224244359,6.043137254901961,0.2994400270471283
DR3,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6470447410995341,6.031576797385621,0.30012931880367716
DR4,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6663113412443895,6.258041666666667,0.30302180291505865
DR5,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6621363593010147,6.229421768707483,0.3064404460455422
DR6,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6471457114954264,6.115760869565217,0.2995602593680848
DR7,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6325730519139153,5.963375,0.2948075376868721
DR8,ctaguchi/wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,0.6370749039136063,6.0034090909090905,0.2986780655649955
DR1,openai_whisper-large-v3-turbo_to_epitran,0.3860022699574069,4.6020408163265305,0.25629522123928056
DR2,openai_whisper-large-v3-turbo_to_epitran,0.36552196067535897,4.434558823529412,0.25689079467043086
DR3,openai_whisper-large-v3-turbo_to_epitran,0.3708437075471337,4.39109477124183,0.2561072187593289
DR4,openai_whisper-large-v3-turbo_to_epitran,0.3753449341170305,4.463208333333334,0.2557290300032292
DR5,openai_whisper-large-v3-turbo_to_epitran,0.381532345494886,4.563732993197279,0.25316034710881197
DR6,openai_whisper-large-v3-turbo_to_epitran,0.3722618068206956,4.348550724637681,0.2536714187625648
DR7,openai_whisper-large-v3-turbo_to_epitran,0.37467730643520875,4.409916666666666,0.25068452510202616
DR8,openai_whisper-large-v3-turbo_to_epitran,0.3720163365976601,4.601767676767676,0.2554210307351144
DR1,openai_whisper-medium.en_to_epitran,0.3867323880586771,4.593622448979592,0.2562356982950127
DR2,openai_whisper-medium.en_to_epitran,0.36561237369483107,4.43500816993464,0.25650953979843605
DR3,openai_whisper-medium.en_to_epitran,0.370990496632474,4.393259803921569,0.2547658849318777
DR4,openai_whisper-medium.en_to_epitran,0.3764050237555335,4.475875,0.25443364731415624
DR5,openai_whisper-medium.en_to_epitran,0.3821892663474856,4.566454081632653,0.2531526734387393
DR6,openai_whisper-medium.en_to_epitran,0.3722600701132794,4.352717391304348,0.25254951352113025
DR7,openai_whisper-medium.en_to_epitran,0.3750122464580901,4.415791666666666,0.250596192866785
DR8,openai_whisper-medium.en_to_epitran,0.37336324695621625,4.582070707070707,0.2546167094817945
